"","Across all sources","adl","cc","danavis","dannet","ep","ft","hest","naat","opensub","retsinformationdk","retspraksis","skat","spont","tv2r","wiki","wikibooks","wikisource"
"DOCS",11835,517,6661,236,18,173,21,439,431,300,747,579,364,395,110,208,265,371
"ENTS",11441,423,7502,283,15,234,25,270,327,55,400,513,379,419,136,257,101,102
"CARDINAL",1702,15,1144,17,6,18,3,17,6,5,34,23,38,314,18,17,18,9
"DATE",1401,75,831,19,5,42,1,29,69,1,83,77,97,0,21,36,8,7
"FACILITY",196,5,159,15,0,0,0,3,2,0,3,0,1,0,3,4,0,1
"GPE",1265,15,846,41,2,25,0,31,102,3,20,32,8,0,27,75,24,14
"LAW",146,0,22,1,0,8,1,0,1,0,12,44,44,0,0,0,0,13
"LOCATION",350,6,288,5,0,4,0,7,13,1,1,0,0,0,2,18,0,5
"MONEY",566,0,472,10,0,0,0,18,0,0,4,37,21,1,3,0,0,0
"NORP",384,9,188,20,0,12,10,1,47,1,31,8,22,0,2,22,6,5
"ORDINAL",104,3,43,9,0,0,0,2,0,2,4,8,5,9,0,5,2,12
"ORGANIZATION",1948,10,1303,37,0,59,4,39,24,0,124,183,93,0,24,9,24,15
"PERSON",1646,85,970,80,2,41,5,69,15,39,78,94,22,89,21,22,1,13
"PRODUCT",632,0,581,1,0,0,0,33,2,1,1,0,9,0,1,1,2,0
"WORK OF ART",331,192,92,2,0,8,0,0,2,2,5,0,1,0,1,15,5,6
"EVENT",170,4,106,4,0,5,0,3,38,0,0,0,1,0,5,3,1,0
"PERCENT",121,0,91,11,0,0,0,0,0,0,0,7,3,5,0,3,1,0
"QUANTITY",241,0,188,4,0,1,0,17,0,0,0,0,9,0,2,15,5,0
"TIME",185,1,144,7,0,8,1,1,6,0,0,0,5,1,6,4,0,1
"LANGUAGE",53,3,34,0,0,3,0,0,0,0,0,0,0,0,0,8,4,1
